team,seed,region,first_four_opponent
Duke,1,2,
Siena,16,2,
Ohio St,8,2,
TCU,9,2,
St. John's,5,2,
Northern Iowa,12,2,
Kansas,4,2,
Cal Baptist,13,2,
Louisville,6,2,
South Florida,11,2,
Michigan St,3,2,
N Dakota St,14,2,
UCLA,7,2,
UCF,10,2,
Connecticut,2,2,
Furman,15,2,
Florida,1,0,
Prairie View A&M,16,0,Lehigh
Lehigh,16,0,Prairie View A&M
Clemson,8,0,
Iowa,9,0,
Vanderbilt,5,0,
McNeese,12,0,
Nebraska,4,0,
Troy,13,0,
North Carolina,6,0,
VCU,11,0,
Illinois,3,0,
Penn,14,0,
Saint Mary's CA,7,0,
Texas A&M,10,0,
Houston,2,0,
Idaho,15,0,
Arizona,1,1,
Long Island,16,1,
Villanova,8,1,
Utah St,9,1,
Wisconsin,5,1,
High Point,12,1,
Arkansas,4,1,
Hawaii,13,1,
BYU,6,1,
Texas,11,1,NC State
NC State,11,1,Texas
Gonzaga,3,1,
Kennesaw St,14,1,
Miami FL,7,1,
Missouri,10,1,
Purdue,2,1,
Queens,15,1,
Michigan,1,3,
UMBC,16,3,Howard
Howard,16,3,UMBC
Georgia,8,3,
Saint Louis,9,3,
Texas Tech,5,3,
Akron,12,3,
Alabama,4,3,
Hofstra,13,3,
Tennessee,6,3,
Miami OH,11,3,SMU
SMU,11,3,Miami OH
Virginia,3,3,
Wright St,14,3,
Kentucky,7,3,
Santa Clara,10,3,
Iowa State,2,3,
Tennessee St,15,3,
